Order_ID,City,Category,Sales,Quantity,Order_Date
4878,Giza,Electronics,135.0,8,2022-04-13
1420,Giza,Books,705.0,2,2022-03-08
797,Alex,Food,394.0,6,2022-09-05
2085,Alex,Electronics,824.0,6,2022-08-10
2859,Mansoura,Clothing,478.0,5,2022-08-31
4228,Alex,Books,445.0,4,2022-03-17
2730,Tanta,Books,318.0,10,2022-11-03
4797,Alex,Electronics,781.0,1,2022-12-03
2039,Cairo,,656.0,9,2022-11-19
3721,Mansoura,Books,836.0,9,2022-12-28
278,Cairo,Electronics,574.0,7,2022-06-25
4812,Alex,Electronics,845.0,2,2022-04-02
2842,Alex,Electronics,354.0,3,2022-03-05
3855,Cairo,Electronics,82.0,2,2022-11-02
4605,Alex,Food,725.0,10,2022-05-07
2222,Mansoura,Clothing,521.0,4,2022-03-04
4855,Tanta,Food,370.0,1,2022-10-05
1014,Mansoura,,960.0,2,2022-08-30
4601,Mansoura,Clothing,,2,2022-04-09
1592,Mansoura,Books,84.0,6,2022-10-04
1145,Cairo,Clothing,726.0,2,2022-04-17
3508,,Clothing,791.0,8,2022-11-25
418,Alex,Electronics,159.0,1,2022-11-06
2097,Tanta,,,8,2022-01-20
715,Giza,,426.0,9,2022-02-24
3326,Tanta,Books,922.0,7,2022-04-11
753,Tanta,Food,139.0,1,2022-02-21
2947,Alex,Clothing,906.0,9,2022-06-03
1231,Giza,Books,776.0,6,2022-03-01
516,Giza,Books,553.0,7,2022-11-22
4288,Alex,Electronics,448.0,6,2022-07-31
3577,Mansoura,Food,,7,2022-10-03
2578,Alex,Books,634.0,1,2022-05-21
4890,Giza,Clothing,247.0,6,2022-07-18
159,Tanta,Books,836.0,7,2022-10-23
643,Cairo,,,5,2022-02-28
3703,Alex,Food,640.0,2,2022-08-09
2095,Cairo,Clothing,607.0,3,2022-02-01
2882,Alex,Electronics,825.0,6,2022-01-21
4574,Alex,Food,551.0,4,2022-10-12
1056,Giza,Books,688.0,9,2022-08-12
1937,Giza,Clothing,842.0,5,2022-12-03
2288,Tanta,Books,794.0,1,2022-04-06
1876,Alex,Clothing,149.0,4,2022-09-20
1038,Mansoura,Books,,9,2022-05-30
4439,Tanta,Electronics,519.0,3,2022-03-04
939,Cairo,Electronics,148.0,2,2022-12-21
4377,Mansoura,Food,498.0,9,2022-06-06
1097,Giza,Clothing,201.0,10,2022-03-03
2863,Alex,Electronics,855.0,8,2022-06-20
1549,,,180.0,8,2022-07-20
3142,Mansoura,Food,820.0,5,2022-06-04
4055,Tanta,Clothing,912.0,8,2022-04-18
3968,,Books,,5,2022-01-21
2792,Alex,Books,533.0,9,2022-01-18
1932,Tanta,,716.0,2,2022-08-24
4019,Alex,Electronics,561.0,7,2022-05-12
3437,Giza,,288.0,8,2022-12-26
4864,Mansoura,,154.0,5,2022-12-01
43,Alex,Food,809.0,7,2022-01-29
4625,Mansoura,Electronics,,3,2022-05-10
243,Giza,Books,605.0,3,2022-01-02
1332,Mansoura,Books,470.0,10,2022-10-30
1838,Cairo,Food,115.0,4,2022-12-03
3757,Mansoura,,686.0,5,2022-06-10
621,Tanta,,857.0,9,2022-02-13
546,Mansoura,Electronics,478.0,7,2022-11-09
2563,Tanta,Books,602.0,4,2022-10-23
3358,Giza,Food,197.0,4,2022-02-12
4380,Alex,,837.0,1,2022-07-31
320,,Clothing,188.0,9,2022-03-16
1198,Tanta,Books,99.0,1,2022-06-29
4545,Alex,Clothing,999.0,8,2022-03-12
1537,Tanta,Electronics,,5,2022-11-07
569,Alex,Books,165.0,6,2022-07-27
2611,Cairo,Clothing,60.0,9,2022-03-01
3051,Mansoura,Clothing,797.0,3,2022-11-16
334,Giza,Electronics,289.0,3,2022-05-04
892,Tanta,Food,390.0,5,2022-12-07
3521,Tanta,Food,203.0,1,2022-01-13
1667,Giza,,847.0,1,2022-03-03
1243,Mansoura,,696.0,4,2022-08-22
4590,,Electronics,714.0,1,2022-11-25
1183,Tanta,Books,293.0,9,2022-06-08
4860,Cairo,Food,548.0,3,2022-04-22
4031,Mansoura,Food,239.0,1,2022-05-04
3107,Mansoura,Clothing,698.0,8,2022-11-06
4948,Cairo,Electronics,416.0,9,2022-07-20
1114,Alex,Electronics,443.0,3,2022-06-02
1574,Tanta,Electronics,230.0,9,2022-11-12
2358,Tanta,Electronics,924.0,8,2022-04-19
4752,Alex,Electronics,663.0,7,2022-02-17
2040,Cairo,Books,514.0,10,2022-09-06
2403,Alex,Food,582.0,5,2022-04-07
1464,Mansoura,Food,984.0,1,2022-05-05
3336,Giza,Electronics,579.0,7,2022-05-08
1454,Mansoura,Books,73.0,9,2022-07-24
4661,,Books,419.0,1,2022-06-13
4805,Tanta,Electronics,806.0,7,2022-12-28
356,Cairo,Books,283.0,4,2022-07-24
1882,Giza,Food,206.0,9,2022-10-26
4550,Tanta,,372.0,3,2022-01-30
1359,Giza,Food,563.0,5,2022-03-01
3944,Giza,Books,680.0,4,2022-01-23
3401,,Books,507.0,3,2022-02-22
3033,Giza,Food,,2,2022-10-11
